feedback_id,employer_key,employer_name,rating_overall,comment_overall,tech_strength_level,technologies,job_role,graduation_year,created_at,approved_by_admin
1,1,Acme Corporation,4,"Strong in data analysis and SQL, excellent problem-solving skills","Strong","SQL, Python, Power BI, Excel","Data Analyst",2024,2024-01-15T10:00:00Z,1
2,1,Acme Corporation,3,"Good technical foundation but needs more cloud experience","Average","Python, SQL, AWS basics","Data Analyst",2023,2024-02-20T11:30:00Z,1
3,2,Tech Innovations Inc,5,"Outstanding technical skills, very strong in full-stack development","Strong","React, Node.js, PostgreSQL, Docker","Full Stack Developer",2024,2024-03-10T09:15:00Z,1
4,2,Tech Innovations Inc,4,"Solid skills in frontend development, good understanding of modern frameworks","Strong","React, JavaScript, TypeScript, CSS","Frontend Developer",2023,2024-03-25T14:20:00Z,1
5,3,Global Systems Ltd,2,"Struggles with complex algorithms and system design","Needs Improvement","Java, Spring Boot, MySQL","Backend Developer",2022,2024-04-05T16:45:00Z,1
6,3,Global Systems Ltd,3,"Adequate skills but requires more mentoring in advanced topics","Average","Java, SQL, REST APIs","Software Engineer",2023,2024-04-18T10:30:00Z,1
7,4,Data Solutions Co,4,"Excellent data engineering skills, strong in ETL processes","Strong","Python, Spark, Airflow, PostgreSQL","Data Engineer",2024,2024-05-12T13:00:00Z,1
8,4,Data Solutions Co,3,"Good analytical skills but needs improvement in cloud platforms","Average","Python, SQL, Tableau","Business Analyst",2022,2024-05-28T15:30:00Z,1
9,5,AI Ventures,5,"Exceptional machine learning expertise, very strong in model deployment","Strong","Python, TensorFlow, PyTorch, Kubernetes","ML Engineer",2024,2024-06-08T09:45:00Z,1
10,5,AI Ventures,4,"Strong theoretical knowledge, good practical implementation skills","Strong","Python, Scikit-learn, Pandas, NumPy","Data Scientist",2023,2024-06-22T11:20:00Z,1
11,1,Acme Corporation,3,"Good fundamentals but needs more experience with distributed systems","Average","Java, Spring, MySQL, Redis","Backend Developer",2022,2024-07-10T14:00:00Z,1
12,2,Tech Innovations Inc,2,"Basic coding skills present but struggles with code quality and best practices","Needs Improvement","JavaScript, HTML, CSS, React basics","Junior Developer",2021,2024-07-25T10:15:00Z,1
13,3,Global Systems Ltd,4,"Strong in database design and optimization, excellent SQL skills","Strong","SQL, PostgreSQL, Python, ETL","Database Administrator",2024,2024-08-05T13:30:00Z,1
14,4,Data Solutions Co,3,"Adequate skills in data visualization but needs more statistical knowledge","Average","Tableau, Excel, SQL, Python basics","Data Analyst",2023,2024-08-18T15:00:00Z,1
15,5,AI Ventures,4,"Good understanding of AI concepts, strong in research and experimentation","Strong","Python, TensorFlow, Jupyter, Git","AI Researcher",2024,2024-09-02T09:30:00Z,1
16,1,Acme Corporation,2,"Needs significant improvement in version control and collaboration tools","Needs Improvement","Python, SQL, Git basics","Junior Data Analyst",2021,2024-09-15T11:45:00Z,1
17,2,Tech Innovations Inc,4,"Strong in mobile development, good understanding of iOS and Android","Strong","React Native, JavaScript, TypeScript, Firebase","Mobile Developer",2023,2024-09-28T14:20:00Z,1
18,3,Global Systems Ltd,3,"Average performance, needs more hands-on experience with cloud services","Average","Java, AWS basics, Docker","Cloud Engineer",2022,2024-10-10T10:00:00Z,1
19,4,Data Solutions Co,5,"Outstanding performance in data pipeline development and optimization","Strong","Python, Airflow, Spark, Kafka, Snowflake","Senior Data Engineer",2024,2024-10-22T13:15:00Z,1
20,5,AI Ventures,3,"Good research skills but needs improvement in production deployment","Average","Python, PyTorch, Jupyter, Docker basics","ML Researcher",2023,2024-11-05T15:30:00Z,1

